Series ID,Year,Period,Value
CUUR0000SA0,1979,M01,68.3
CUUR0000SA0,1979,M02,69.1
CUUR0000SA0,1979,M03,69.8
CUUR0000SA0,1979,M04,70.6
CUUR0000SA0,1979,M05,71.5
CUUR0000SA0,1979,M06,72.3
CUUR0000SA0,1979,M07,73.1
CUUR0000SA0,1979,M08,73.8
CUUR0000SA0,1979,M09,74.6
CUUR0000SA0,1979,M10,75.2
CUUR0000SA0,1979,M11,75.9
CUUR0000SA0,1979,M12,76.7
CUUR0000SA0,1980,M01,77.8
CUUR0000SA0,1980,M02,78.9
CUUR0000SA0,1980,M03,80.1
CUUR0000SA0,1980,M04,81.0
CUUR0000SA0,1980,M05,81.8
CUUR0000SA0,1980,M06,82.7
CUUR0000SA0,1980,M07,82.7
CUUR0000SA0,1980,M08,83.3
CUUR0000SA0,1980,M09,84.0
CUUR0000SA0,1980,M10,84.8
CUUR0000SA0,1980,M11,85.5
CUUR0000SA0,1980,M12,86.3
CUUR0000SA0,1981,M01,87.0
CUUR0000SA0,1981,M02,87.9
CUUR0000SA0,1981,M03,88.5
CUUR0000SA0,1981,M04,89.1
CUUR0000SA0,1981,M05,89.8
CUUR0000SA0,1981,M06,90.6
CUUR0000SA0,1981,M07,91.6
CUUR0000SA0,1981,M08,92.3
CUUR0000SA0,1981,M09,93.2
CUUR0000SA0,1981,M10,93.4
CUUR0000SA0,1981,M11,93.7
CUUR0000SA0,1981,M12,94.0
CUUR0000SA0,1982,M01,94.3
CUUR0000SA0,1982,M02,94.6
CUUR0000SA0,1982,M03,94.5
CUUR0000SA0,1982,M04,94.9
CUUR0000SA0,1982,M05,95.8
CUUR0000SA0,1982,M06,97.0
CUUR0000SA0,1982,M07,97.5
CUUR0000SA0,1982,M08,97.7
CUUR0000SA0,1982,M09,97.9
CUUR0000SA0,1982,M10,98.2
CUUR0000SA0,1982,M11,98.0
CUUR0000SA0,1982,M12,97.6
CUUR0000SA0,1983,M01,97.8
CUUR0000SA0,1983,M02,97.9
CUUR0000SA0,1983,M03,97.9
CUUR0000SA0,1983,M04,98.6
CUUR0000SA0,1983,M05,99.2
CUUR0000SA0,1983,M06,99.5
CUUR0000SA0,1983,M07,99.9
CUUR0000SA0,1983,M08,100.2
CUUR0000SA0,1983,M09,100.7
CUUR0000SA0,1983,M10,101.0
CUUR0000SA0,1983,M11,101.2
CUUR0000SA0,1983,M12,101.3
CUUR0000SA0,1984,M01,101.9
CUUR0000SA0,1984,M02,102.4
CUUR0000SA0,1984,M03,102.6
CUUR0000SA0,1984,M04,103.1
CUUR0000SA0,1984,M05,103.4
CUUR0000SA0,1984,M06,103.7
