Date,Price,IR
1978-12-29,226.0,4.3
1979-01-01,226.0,4.3
1979-01-02,226.8,4.3
1979-01-03,218.6,4.3
1979-01-04,223.2,4.3
1979-01-05,225.5,4.3
1979-01-08,223.1,4.3
1979-01-09,224.0,4.3
1979-01-10,220.7,4.3
1979-01-11,220.7,4.3
1979-01-12,217.6,4.3
1979-01-15,216.9,4.3
1979-01-16,220.7,4.3
1979-01-17,227.3,4.3
1979-01-18,231.8,4.3
1979-01-19,230.6,4.3
1979-01-22,235.0,4.3
1979-01-23,230.0,4.3
1979-01-24,236.1,4.3
1979-01-25,233.9,4.3
1979-01-26,235.5,4.3
1979-01-29,235.2,4.3
1979-01-30,233.5,4.3
1979-01-31,233.7,4.3
1979-02-01,229.4,4.3
1979-02-02,230.3,4.3
1979-02-05,243.1,4.3
1979-02-06,244.5,4.3
1979-02-07,251.6,4.3
1979-02-08,250.5,4.3
1979-02-09,246.8,4.3
1979-02-12,244.3,4.3
1979-02-13,240.6,4.3
1979-02-14,240.7,4.3
1979-02-15,247.8,4.3
1979-02-16,247.1,4.3
1979-02-19,248.1,4.3
1979-02-20,247.0,4.3
1979-02-21,250.8,4.3
1979-02-22,252.4,4.3
1979-02-23,251.0,4.3
1979-02-26,248.6,4.3
1979-02-27,247.9,4.3
1979-02-28,251.3,4.3
1979-03-01,248.8,4.3
1979-03-02,248.0,4.3
1979-03-05,238.2,4.3
1979-03-06,239.8,4.3
1979-03-07,242.3,4.3
1979-03-08,239.2,4.3
1979-03-09,241.0,4.3
1979-03-12,240.0,4.3
1979-03-13,239.1,4.3
1979-03-14,239.5,4.3
1979-03-15,240.1,4.3
1979-03-16,244.0,4.3
1979-03-19,242.3,4.3
1979-03-20,242.1,4.3
1979-03-21,239.9,4.3
1979-03-22,242.9,4.3
1979-03-23,242.5,4.3
1979-03-26,245.3,4.3
1979-03-27,244.4,4.3
1979-03-28,244.4,4.3
1979-03-29,241.5,4.3
1979-03-30,240.1,4.3
1979-04-02,239.7,4.3
1979-04-03,240.0,4.3
1979-04-04,239.8,4.3
1979-04-05,240.7,4.3
1979-04-06,239.8,4.3
1979-04-09,240.2,4.3
1979-04-10,239.8,4.3
1979-04-11,238.4,4.3
1979-04-12,234.0,4.3
1979-04-13,234.0,4.3
1979-04-16,234.0,4.3
1979-04-17,231.9,4.3
1979-04-18,233.2,4.3
1979-04-19,240.9,4.3
