y_test_denorm,Date
1084.8,16/11/2015
1079.2,17/11/2015
1067.8,18/11/2015
1082.6,19/11/2015
1081.8,20/11/2015
1070.5,23/11/2015
1076.4,24/11/2015
1068,25/11/2015
1071,26/11/2015
1057.4,27/11/2015
1061.9,30/11/2015
1065.4,1/12/2015
1055.4,2/12/2015
1055.5,3/12/2015
1079.3,4/12/2015
1075.8,7/12/2015
1072.1,8/12/2015
1081,9/12/2015
1071,10/12/2015
1072.5,11/12/2015
1068.3,14/12/2015
1061.5,15/12/2015
1075.3,16/12/2015
1049.4,17/12/2015
1062.5,18/12/2015
1078.8,21/12/2015
1074.9,22/12/2015
1068.3,23/12/2015
1068.3,24/12/2015
1068.3,25/12/2015
1068.3,28/12/2015
1070.1,29/12/2015
1060,30/12/2015
1060,31/12/2015
1060,1/1/2016
1082.3,4/1/2016
1077,5/1/2016
1091.4,6/1/2016
1106.4,7/1/2016
1101.9,8/1/2016
1100.8,11/1/2016
1085.4,12/1/2016
1088.2,13/1/2016
1088.4,14/1/2016
1093.8,15/1/2016
1089.2,18/1/2016
1086.3,19/1/2016
1101.8,20/1/2016
1096.5,21/1/2016
1096.3,22/1/2016
1106.6,25/1/2016
1113.6,26/1/2016
1116.3,27/1/2016
1114,28/1/2016
1111.8,29/1/2016
1126.5,1/2/2016
1128.5,2/2/2016
1132,3/2/2016
1156.4,4/2/2016
1150.4,5/2/2016
1193.3,8/2/2016
1191,9/2/2016
1190,10/2/2016
1241,11/2/2016
1239.8,12/2/2016
1208.2,15/2/2016
1209.5,16/2/2016
1210,17/2/2016
1210.1,18/2/2016
1231.2,19/2/2016
1211,22/2/2016
1221.4,23/2/2016
1250.8,24/2/2016
1236,25/2/2016
1226.5,26/2/2016
1234.9,29/2/2016
1236.5,1/3/2016
1239.2,2/3/2016
1250.3,3/3/2016
1277.5,4/3/2016
1267.9,7/3/2016
1267,8/3/2016
1246.4,9/3/2016
1266.5,10/3/2016
1264.8,11/3/2016
1242.8,14/3/2016
1232,15/3/2016
1228.5,16/3/2016
1266.5,17/3/2016
1252.1,18/3/2016
1244.9,21/3/2016
1252.5,22/3/2016
1217.6,23/3/2016
1221,24/3/2016
